"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 10 02:59:17 UTC 2024","Sat Feb 10 02:59:28 UTC 2024","10913","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Feb 10 02:24:21 UTC 2024","Sat Feb 10 02:24:37 UTC 2024","16241","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Feb 10 02:17:21 UTC 2024","Sat Feb 10 02:17:39 UTC 2024","18122","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Feb 10 03:32:37 UTC 2024","Sat Feb 10 03:32:47 UTC 2024","10003","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sat Feb 10 04:08:00 UTC 2024","Sat Feb 10 04:08:41 UTC 2024","41024","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sat Feb 10 02:26:55 UTC 2024","Sat Feb 10 02:26:56 UTC 2024","596","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Feb 10 03:32:13 UTC 2024","Sat Feb 10 03:32:16 UTC 2024","2717","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sat Feb 10 04:07:52 UTC 2024","Sat Feb 10 04:07:58 UTC 2024","5991","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sat Feb 10 02:39:13 UTC 2024","Sat Feb 10 02:39:24 UTC 2024","10884","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Feb 10 02:29:25 UTC 2024","Sat Feb 10 02:29:34 UTC 2024","8399","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Feb 10 02:19:13 UTC 2024","Sat Feb 10 02:19:24 UTC 2024","11257","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sat Feb 10 03:43:41 UTC 2024","Sat Feb 10 03:43:45 UTC 2024","4233","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sat Feb 10 04:17:21 UTC 2024","Sat Feb 10 04:17:23 UTC 2024","1673","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sat Feb 10 02:29:05 UTC 2024","Sat Feb 10 02:29:25 UTC 2024","20561","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Feb 10 02:19:24 UTC 2024","Sat Feb 10 02:19:49 UTC 2024","25129","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sat Feb 10 04:06:03 UTC 2024","Sat Feb 10 04:06:07 UTC 2024","3588","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
